[2022-03-01 00:02:04.888] [info]  [db] Initialized DB client
[2022-03-01 00:02:05.191] [info]  [plugin] Loaded /home/pablo/.config/Insomnia/plugins/insomnia-plugin-theme-dracula
[2022-03-01 00:02:06.322] [info]  [FileSystemDriver] Initialized in "/home/pablo/.config/Insomnia/version-control"
[2022-03-01 00:02:06.327] [info]  [FileSystemDriver] Initialized in "/home/pablo/.config/Insomnia/version-control"
[2022-03-01 00:02:06.327] [info]  [sync] checking for collections which need to be moved into a remote project
[2022-03-01 00:02:06.376] [info]  [ga] Event Activity, Change, debug
[2022-03-01 00:02:06.377] [info]  [ga] Page /debug
[2022-03-01 00:02:15.250] [info]  [network] Sending req=req_c06bb0da97844cebb471d3803a546ed6 env=env_744debc9e793449a8fa329a868daac05
[2022-03-01 00:02:15.556] [info]  [network] Response succeeded req=req_c06bb0da97844cebb471d3803a546ed6 status=202
[2022-03-01 00:02:20.750] [info]  [network] Sending req=req_a32c079058f94bbb8c4e2e46545e0d63 env=env_744debc9e793449a8fa329a868daac05
[2022-03-01 00:02:20.841] [info]  [network] Response succeeded req=req_a32c079058f94bbb8c4e2e46545e0d63 status=201
[2022-03-01 00:02:25.826] [info]  [network] Sending req=req_a32c079058f94bbb8c4e2e46545e0d63 env=env_744debc9e793449a8fa329a868daac05
[2022-03-01 00:02:25.923] [info]  [network] Response succeeded req=req_a32c079058f94bbb8c4e2e46545e0d63 status=201
[2022-03-01 00:03:25.167] [info]  [network] Sending req=req_a32c079058f94bbb8c4e2e46545e0d63 env=env_744debc9e793449a8fa329a868daac05
[2022-03-01 00:03:25.305] [info]  [network] Response succeeded req=req_a32c079058f94bbb8c4e2e46545e0d63 status=403
[2022-03-01 00:03:28.864] [info]  [network] Sending req=req_a32c079058f94bbb8c4e2e46545e0d63 env=env_744debc9e793449a8fa329a868daac05
[2022-03-01 00:03:28.938] [info]  [network] Response succeeded req=req_a32c079058f94bbb8c4e2e46545e0d63 status=403
[2022-03-01 00:03:30.719] [info]  [drag] Ignored drop event because no files present
[2022-03-01 00:03:32.933] [info]  [network] Sending req=req_c06bb0da97844cebb471d3803a546ed6 env=env_744debc9e793449a8fa329a868daac05
[2022-03-01 00:03:33.095] [info]  [network] Response succeeded req=req_c06bb0da97844cebb471d3803a546ed6 status=202
[2022-03-01 00:03:41.542] [info]  [network] Sending req=req_a32c079058f94bbb8c4e2e46545e0d63 env=env_744debc9e793449a8fa329a868daac05
[2022-03-01 00:03:41.615] [info]  [network] Response succeeded req=req_a32c079058f94bbb8c4e2e46545e0d63 status=201
[2022-03-01 00:03:49.028] [info]  [network] Sending req=req_a32c079058f94bbb8c4e2e46545e0d63 env=env_744debc9e793449a8fa329a868daac05
[2022-03-01 00:03:49.094] [info]  [network] Response succeeded req=req_a32c079058f94bbb8c4e2e46545e0d63 status=201
[2022-03-01 15:06:38.192] [info]  [toast] Received notification linux-update-2022.1.0
